id,name,price,cost,weight_grams
bk-223,The Teacher,149,,
bk-224,Ward D,139,,
bk-227,The Ex,159,,
bk-228,The Crash,159,,
bk-229,The Coworker,159,,
bk-230,Dead Med,209,,
bk-231,Dear Debbie,199,,
bk-232,Do You Remember,149,,
bk-233,The Wife Upstairs,149,,
bk-234,Fourth Wing,229,,
bk-235,Iron Flame,239,,
bk-236,Onyx Storm,249,,
bk-237,The Fine Print,209,,
bk-238,Terms and Conditions,209,,
bk-239,Final Offer,239,,
bk-240,Dreamland Billionaires Series,559,,
bk-241,Ghosts,199,,
bk-242,Good Material,199,,
bk-244,Dopamine Detox,109,,
bk-245,The Art of Letting Go,139,,
bk-246,The Art of Saying No,139,,
bk-247,The Curse of Letting Go,129,,
bk-248,How to Read a Book,199,,
bk-249,Dark Psychology and Manipulation,119,,
bk-250,The Body Keeps the Score,209,,
bk-251,8 Rules of Love,179,,
bk-252,You Become What You Think,129,,
bk-253,"Build, Don't Talk",139,,
bk-254,Execution,199,,
bk-255,I Want to Die but I Want to Eat Tteokbokki,139,,
bk-257,The Vegetarian,149,,
bk-258,Circe,139,,
bk-259,The Forty Rules of Love,189,,
bk-260,A Woman Is No Man,189,,
bk-261,Once Upon a Broken Heart,189,,
bk-262,The Archer's Voice,189,,
bk-263,The American Roommate Experiment,189,,
bk-264,People We Meet on Vacation,189,,
bk-265,I Fell in Love with Hope,209,,
bk-266,The Castle,169,,
bk-267,Project Hail Mary,199,,
bk-268,The Family Upstairs,209,,
bk-269,7 Deaths of Kashi,159,,
bk-270,Murder at the Bookstore,189,,
bk-271,The Murder After,189,,
bk-272,In Silence We Left Behind,159,,
bk-273,Two Can Play,149,,
bk-274,The Art of War,139,,
bk-275,The Intelligent Investor,239,,
bk-276,Diary of a Wimpy Kid,139,,
bk-277,Rodrick Rules,139,,
bk-278,The Last Straw,139,,
bk-279,Dog Days,139,,
bk-280,The Ugly Truth,139,,
bk-281,Cabin Fever,139,,
bk-282,The Third Wheel,139,,
bk-283,Hard Luck,139,,
bk-284,The Long Haul,139,,
bk-285,Old School,139,,
bk-286,Double Down,139,,
bk-287,The Getaway,139,,
bk-288,The Meltdown,139,,
bk-289,Wrecking Ball,139,,
bk-290,The Deep End,139,,
bk-291,Big Shot,139,,
bk-292,Diper Överlöde,139,,
bk-293,No Brainer,139,,
bk-294,Hot Mess,139,,
bk-295,Partypooper,139,,
bk-296,Fight or Flight,139,,
bk-297,The Girl on the Train,179,,
bk-298,Animal Farm,139,,
bk-299,Deep Work,159,,
bk-300,101 Essays That Will Change The Way You Think,209,,
bk-301,How to Kill Men and Get Away With It,189,,
bk-302,Steal Like an Artist: 10 Things Nobody Told You About Being Creative,169,,
bk-303,"Tuesdays with Morrie: An Old Man, a Young Man, and Life's Greatest Lesson",149,,
bk-304,As Long as the Lemon Trees Grow,229,,
bk-305,"The Daily Stoic: 366 Meditations on Wisdom, Perseverance, and the Art of Living",179,,
bk-306,Normal People,149,,
bk-307,Conversations with Friends,189,,
bk-308,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,219,,
bk-309,Sapiens: A Brief History of Humankind,229,,
bk-311,A Gentleman in Moscow,259,,
bk-312,A Promised Land,339,,
bk-313,Absolute Friends,209,,
bk-314,The Accidental Billionaires,309,,
bk-315,Advice & Dissent,209,,
bk-316,Against the Gods,209,,
bk-318,All the Way to the River,309,,
bk-320,An Unsuitable Boy,199,,
bk-322,Andaman Adventure,209,,
bk-323,First Man In,309,,
bk-325,The Art of Detachment,149,,
bk-326,As Good as Dead,209,,
bk-327,Atma Siddhi Shastra,209,,
bk-328,Attitude Is Everything,149,,
bk-329,Azaad,139,,
bk-331,Bad Leadership,309,,
bk-333,Behind the Net,209,,
bk-334,The Autobiography of Benjamin Franklin,139,,
bk-336,Beyond Great,309,,
bk-337,Binge,209,,
bk-338,"Bulls, Bears and Other Beasts",259,,
bk-339,Capital Ideas,309,,
bk-341,Chaos and Order in the Capital Markets,309,,
